Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
OneTouch,Wed Jun 01 18:52:42 +0000 2016,0,99,9872,
OneTouch,Wed Jun 01 16:03:02 +0000 2016,1,99,9872,
OneTouch,Mon May 30 11:12:03 +0000 2016,0,99,9872,
OneTouch,Sat May 28 14:27:04 +0000 2016,1,99,9872,
OneTouch,Thu May 26 16:24:09 +0000 2016,0,99,9872,
OneTouch,Thu May 26 11:04:04 +0000 2016,1,99,9872,
OneTouch,Wed May 25 14:43:56 +0000 2016,0,99,9872,
OneTouch,Tue May 24 18:32:19 +0000 2016,0,99,9872,
OneTouch,Tue May 24 18:26:32 +0000 2016,0,99,9872,
OneTouch,Mon May 23 23:38:10 +0000 2016,0,99,9872,
OneTouch,Mon May 23 22:57:26 +0000 2016,0,99,9872,
OneTouch,Mon May 23 15:45:41 +0000 2016,0,99,9872,
OneTouch,Thu May 19 12:03:04 +0000 2016,2,99,9872,
OneTouch,Tue May 17 16:16:05 +0000 2016,1,99,9872,
OneTouch,Mon May 16 13:10:44 +0000 2016,0,99,9872,
OneTouch,Mon May 16 11:02:07 +0000 2016,0,99,9872,
OneTouch,Sun May 15 14:04:06 +0000 2016,1,99,9872,
OneTouch,Sat May 14 14:01:02 +0000 2016,0,99,9872,
OneTouch,Fri May 13 15:41:08 +0000 2016,0,99,9872,
OneTouch,Thu May 12 15:38:06 +0000 2016,0,99,9872,
OneTouch,Wed May 11 16:24:54 +0000 2016,0,99,9872,
OneTouch,Wed May 11 15:28:33 +0000 2016,0,99,9872,
OneTouch,Wed May 11 15:09:05 +0000 2016,0,99,9872,
OneTouch,Mon May 09 17:22:01 +0000 2016,0,99,9872,
OneTouch,Mon May 09 11:05:07 +0000 2016,0,99,9872,
OneTouch,Sun May 08 17:01:07 +0000 2016,0,99,9872,
OneTouch,Sun May 08 17:01:07 +0000 2016,0,99,9872,
OneTouch,Sun May 08 13:04:01 +0000 2016,1,99,9872,
OneTouch,Sat May 07 14:02:01 +0000 2016,0,99,9872,
OneTouch,Fri May 06 18:01:06 +0000 2016,0,99,9872,
OneTouch,Thu May 05 20:49:58 +0000 2016,0,99,9872,
OneTouch,Thu May 05 15:17:04 +0000 2016,0,99,9872,
OneTouch,Wed May 04 22:27:41 +0000 2016,0,99,9872,
OneTouch,Wed May 04 14:39:30 +0000 2016,0,99,9872,
OneTouch,Wed May 04 12:02:06 +0000 2016,1,99,9872,
OneTouch,Tue May 03 18:34:05 +0000 2016,1,99,9872,
OneTouch,Mon May 02 17:37:41 +0000 2016,0,99,9872,
OneTouch,Mon May 02 17:37:28 +0000 2016,0,99,9872,
OneTouch,Mon May 02 16:27:04 +0000 2016,1,99,9872,
OneTouch,Thu Apr 28 13:01:01 +0000 2016,1,99,9872,
OneTouch,Tue Apr 26 22:29:35 +0000 2016,0,99,9872,
OneTouch,Tue Apr 26 15:02:06 +0000 2016,1,99,9872,
OneTouch,Fri Apr 22 15:33:03 +0000 2016,0,99,9872,
OneTouch,Fri Apr 22 12:18:30 +0000 2016,0,99,9872,
OneTouch,Thu Apr 21 18:31:48 +0000 2016,0,99,9872,
OneTouch,Mon Apr 18 22:54:01 +0000 2016,0,99,9872,
OneTouch,Fri Apr 15 21:16:14 +0000 2016,1,99,9872,
OneTouch,Thu Apr 14 20:04:55 +0000 2016,0,99,9872,
OneTouch,Wed Apr 13 17:15:20 +0000 2016,0,99,9872,
OneTouch,Tue Apr 12 18:19:36 +0000 2016,0,99,9872,
OneTouch,Tue Apr 12 15:33:04 +0000 2016,2,99,9872,
OneTouch,Sun Apr 10 15:02:06 +0000 2016,0,99,9872,
OneTouch,Sun Apr 10 14:09:59 +0000 2016,0,99,9872,
OneTouch,Sat Apr 09 14:58:24 +0000 2016,0,99,9872,
OneTouch,Sat Apr 09 14:04:05 +0000 2016,0,99,9872,
OneTouch,Fri Apr 08 19:00:11 +0000 2016,2,99,9872,
OneTouch,Thu Apr 07 14:30:43 +0000 2016,0,99,9872,
OneTouch,Thu Apr 07 12:02:04 +0000 2016,0,99,9872,
OneTouch,Wed Apr 06 19:11:40 +0000 2016,0,99,9872,
OneTouch,Wed Apr 06 15:53:48 +0000 2016,0,99,9872,
OneTouch,Wed Apr 06 15:29:47 +0000 2016,0,99,9872,
OneTouch,Mon Apr 04 13:51:13 +0000 2016,0,99,9872,
OneTouch,Sat Apr 02 18:22:02 +0000 2016,0,99,9872,
OneTouch,Sat Apr 02 12:32:05 +0000 2016,0,99,9872,
OneTouch,Thu Mar 31 23:37:55 +0000 2016,0,99,9872,
OneTouch,Wed Mar 30 13:01:47 +0000 2016,0,99,9872,
OneTouch,Tue Mar 29 15:37:03 +0000 2016,2,99,9872,
OneTouch,Sun Mar 27 14:36:30 +0000 2016,0,99,9872,
OneTouch,Sun Mar 27 14:32:38 +0000 2016,0,99,9872,
OneTouch,Thu Mar 24 19:29:58 +0000 2016,0,99,9872,
OneTouch,Tue Mar 22 19:29:49 +0000 2016,0,99,9872,
OneTouch,Tue Mar 22 18:13:57 +0000 2016,2,99,9872,
OneTouch,Tue Mar 22 15:55:03 +0000 2016,1,99,9872,
OneTouch,Sat Mar 19 12:37:03 +0000 2016,0,99,9872,
OneTouch,Sat Mar 19 12:32:05 +0000 2016,2,99,9872,
OneTouch,Thu Mar 17 10:32:01 +0000 2016,6,99,9872,
OneTouch,Mon Mar 14 21:38:47 +0000 2016,0,99,9872,
OneTouch,Sun Mar 13 17:07:16 +0000 2016,0,99,9872,
OneTouch,Sun Mar 13 12:32:03 +0000 2016,0,99,9872,
OneTouch,Sat Mar 12 18:04:02 +0000 2016,2,99,9872,
OneTouch,Wed Mar 09 16:43:21 +0000 2016,0,99,9872,
OneTouch,Tue Mar 08 23:16:11 +0000 2016,0,99,9872,
OneTouch,Tue Mar 08 16:11:03 +0000 2016,0,99,9872,
OneTouch,Mon Mar 07 13:12:17 +0000 2016,0,99,9872,
OneTouch,Sun Mar 06 18:45:07 +0000 2016,0,99,9872,
OneTouch,Thu Mar 03 20:39:04 +0000 2016,0,99,9872,
OneTouch,Thu Mar 03 00:14:06 +0000 2016,0,99,9872,
OneTouch,Wed Mar 02 13:56:01 +0000 2016,0,99,9872,
OneTouch,Tue Mar 01 21:32:41 +0000 2016,0,99,9872,
OneTouch,Tue Mar 01 20:07:59 +0000 2016,0,99,9872,
OneTouch,Tue Mar 01 16:38:27 +0000 2016,0,99,9872,
OneTouch,Tue Mar 01 14:13:02 +0000 2016,0,99,9872,
OneTouch,Mon Feb 29 17:02:03 +0000 2016,0,99,9872,
OneTouch,Mon Feb 29 12:17:01 +0000 2016,0,99,9872,
OneTouch,Sun Feb 28 15:02:46 +0000 2016,0,99,9872,
OneTouch,Thu Feb 25 17:12:02 +0000 2016,0,99,9872,
