Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Omnipod,Tue May 31 13:39:47 +0000 2016,2,356,649,
Omnipod,Fri May 27 15:25:21 +0000 2016,7,356,649,
Omnipod,Fri May 27 13:38:18 +0000 2016,5,356,649,
Omnipod,Thu May 26 18:25:35 +0000 2016,1,356,649,
Omnipod,Wed May 25 16:05:42 +0000 2016,6,356,649,
Omnipod,Tue May 24 17:03:27 +0000 2016,0,356,649,
Omnipod,Mon May 23 17:01:58 +0000 2016,8,356,649,
Omnipod,Fri May 20 16:55:09 +0000 2016,11,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
Omnipod,Thu May 19 20:36:04 +0000 2016,2,356,649,
